Total_Cases,WeekDay,Daily_Cases,Daily_Deaths,Total_Recovered,Total_Deaths,Days_Gone
0,2,0,0,0,0,22
0,3,0,0,0,0,23
0,4,0,0,0,0,24
0,5,0,0,0,0,25
0,6,0,0,0,0,26
0,0,0,0,0,0,27
0,1,0,0,0,0,28
0,2,0,0,0,0,29
0,3,0,0,0,0,30
0,4,0,0,0,0,31
0,5,0,0,0,0,32
0,6,0,0,0,0,33
0,0,0,0,0,0,34
0,1,0,0,0,0,35
0,2,0,0,0,0,36
0,3,0,0,0,0,37
0,4,0,0,0,0,38
0,5,0,0,0,0,39
0,6,0,0,0,0,40
0,0,0,0,0,0,41
0,1,0,0,0,0,42
0,2,0,0,0,0,43
0,3,0,0,0,0,44
0,4,0,0,0,0,45
0,5,0,0,0,0,46
0,6,0,0,0,0,47
0,0,0,0,0,0,48
0,1,0,0,0,0,49
0,2,0,0,0,0,50
0,3,0,0,0,0,51
0,4,0,0,0,0,52
0,5,0,0,0,0,53
0,6,0,0,0,0,54
0,0,0,0,0,0,55
0,1,0,0,0,0,56
1,2,1,0,0,0,57
1,3,0,0,0,0,58
1,4,0,0,0,0,59
2,5,1,0,0,0,60
2,6,0,0,0,0,61
2,0,0,0,0,0,62
2,1,0,0,0,0,63
4,2,2,0,0,0,64
4,3,0,0,0,0,65
13,4,9,0,0,0,66
13,5,0,0,0,0,67
20,6,7,0,0,0,68
25,0,5,0,0,0,69
31,1,6,0,0,0,70
38,2,7,0,0,0,71
52,3,14,0,0,0,72
151,4,99,0,0,0,73
151,5,0,0,0,0,74
162,6,11,0,0,0,75
200,0,38,0,1,0,76
321,1,121,1,2,1,77
372,2,51,2,2,3,78
621,3,249,3,2,6,79
793,4,172,5,2,11,80
1021,5,228,4,2,15,81
1546,6,525,10,2,25,82
1924,0,378,9,2,34,83
2247,1,323,12,2,46,84
2554,2,307,13,2,59,85
2985,3,431,18,6,77,86
3417,4,432,15,6,92,87
3904,5,487,19,6,111,88
4256,6,352,25,6,136,89
4579,0,323,23,120,159,90
5717,1,1138,42,127,201,91
6836,2,1119,39,127,240,92
8044,3,1208,84,127,324,93
9056,4,1012,35,127,359,94
10360,5,1304,86,127,445,95
11130,6,770,41,127,486,96
12161,0,1031,78,127,564,97
14034,1,1873,122,127,686,98
16170,2,2136,133,127,819,99
18092,3,1922,131,173,950,100
19638,4,1546,107,173,1057,101
20727,5,1089,67,173,1124,102
22192,6,1465,99,173,1223,103
23430,0,1238,105,173,1328,104
25262,1,1832,204,3046,1532,105
28320,2,3058,204,14026,1736,106
30425,3,2105,188,14026,1924,107
33682,4,3257,217,14026,2141,108
36658,5,2976,213,14026,2354,109
38654,6,1996,108,22130,2462,110
40743,0,2089,125,22130,2587,111
43079,1,2336,154,22991,2741,112
45757,2,2678,165,25318,2906,113
50036,3,4279,425,26573,3331,114
54043,4,4007,373,27655,3704,115
59324,5,5281,353,29160,4057,116
63100,6,3776,229,30152,4286,117
67446,0,4346,317,31142,4603,118
73235,1,5789,480,32544,5083,119
79685,2,6450,430,34132,5513,120
87187,3,7502,493,35935,6006,121
92202,4,5015,406,38039,6412,122
97100,5,4898,349,40937,6761,123
101826,6,4726,290,42991,7051,124
108620,0,6794,316,45815,7367,125
115455,1,6835,571,48221,7938,126
126611,2,11156,650,51370,8588,127
135773,3,9162,602,55350,9190,128
146894,4,11121,827,59297,10017,129
156061,5,9167,639,61685,10656,130
162699,6,6638,467,64957,11123,131
169594,0,6895,530,67384,11653,132
178214,1,8620,808,72597,12461,133
190137,2,11923,779,78424,13240,134
203165,3,13028,759,79479,13999,135
220291,4,17126,963,84970,14962,136
233511,5,13220,700,89672,15662,137
241080,6,7569,456,94122,16118,138
255368,0,14288,735,100459,16853,139
271885,1,16517,1130,106794,17983,140
291579,2,19694,876,116683,18859,141
310087,3,18508,1188,125960,20047,142
330890,4,20803,1001,135430,21048,143
347398,5,16508,965,142587,22013,144
363211,6,15813,653,149911,22666,145
374898,0,11687,807,153833,23473,146
391222,1,16324,1039,158593,24512,147
411821,2,20599,1086,166647,25598,148
438238,3,26417,1156,177604,26754,149
465166,4,26928,1124,189476,27878,150
498440,5,33274,956,200892,28834,151
514849,6,16409,480,206555,29314,152
526447,0,11598,623,211080,29937,153
555383,1,28936,1262,223638,31199,154
584016,2,28633,1349,238617,32548,155
614941,3,30925,1473,254963,34021,156
645771,4,30830,1005,266940,35026,157
672846,5,27075,904,277149,35930,158
691758,6,18912,525,283952,36455,159
707412,0,15654,679,378257,37134,160
739503,1,32091,1272,396737,38406,161
772416,2,32913,1274,413916,39680,162
802828,3,30412,1239,429965,40919,163
828810,4,25982,909,445123,41828,164
850514,5,21704,892,459436,42720,165
867624,6,17110,612,469141,43332,166
888271,0,20647,627,477709,43959,167
923189,1,34918,1282,490005,45241,168
955377,2,32188,1269,521046,46510,169
978142,3,22765,1238,534580,47748,170
1032913,4,54771,1206,551631,48954,171
1067579,5,34666,1022,576779,49976,172
1083341,6,15762,615,588118,50591,173
1106470,0,23129,680,601736,51271,174
1145906,1,39436,1374,627963,52645,175
